UniqueGameId,PlayerNumber,BoardLocation,Spin,Player1Loc,Player2Loc,Player3Loc,Player4Loc,Player5Loc,Player6Loc,SelectedMove,PlayerWonGame
fc714c1c-02d0-4e1b-a4b9-25c3db721eaa,3,45,5,87,84,28,46,26,44,28,0
6619e11e-1d61-412f-bda0-54e6776511db,2,45,5,85,28,84,85,84,87,28,0
bd805ea8-c2a5-4e09-9b44-c9e1fd029778,5,45,5,27,46,45,36,11,15,11,0
bd805ea8-c2a5-4e09-9b44-c9e1fd029778,3,45,5,84,11,11,36,11,8,11,0
2c0ccecc-1231-417f-abc4-0b72929fd966,5,45,5,27,46,45,36,11,15,11,0
2c0ccecc-1231-417f-abc4-0b72929fd966,3,45,5,84,11,11,36,11,8,11,0
eb48f477-1079-48a8-a38c-c4cea526309e,5,45,5,27,46,45,36,11,15,11,0
eb48f477-1079-48a8-a38c-c4cea526309e,3,45,5,84,11,11,36,11,8,11,0
30418515-4b13-4d5e-9acf-e8326f40f284,4,45,5,33,85,24,28,21,31,28,0
979da95b-4529-4b8f-93da-5e140f38de5e,6,45,5,53,56,65,55,47,50,50,0
f556f002-523e-445c-a78a-8d0e92d850b3,6,45,5,53,56,65,55,47,50,50,0
dd1af778-b51b-454e-ab95-6aaa7094829d,5,45,5,35,47,34,42,50,45,50,0
4ae16491-c3d3-418d-b838-deb6ff77e3e1,5,45,5,35,47,34,42,50,45,50,0
3c255814-e649-449c-8661-3875c71f3bc7,4,45,5,36,47,27,11,29,8,11,1
e8eeed44-e796-4a0b-83cf-8c63d635536d,4,45,5,36,47,27,11,29,8,11,1
524fba95-d1b5-448b-bafd-38e198a46624,4,45,5,36,47,27,11,29,8,11,1
637f6545-f2f7-4b74-b91a-3cd240ab3f8d,2,45,5,24,11,28,35,31,15,11,0
637f6545-f2f7-4b74-b91a-3cd240ab3f8d,4,45,5,28,11,84,11,27,78,11,0
507abc2f-8805-406a-a265-b8f4267296bf,2,45,5,24,11,28,35,31,15,11,0
6a5e8355-8e88-48e3-931b-520d876713a1,2,45,5,58,50,47,48,39,41,50,0
c4f5cc15-2d5f-4936-8fec-15330bcc5b67,2,45,5,58,50,47,48,39,41,50,0
e6d464e1-3d66-4af5-b377-86fa69edfcd2,2,45,5,58,50,47,48,39,41,50,0
93e8e0cb-1733-461c-a659-6a699fcffea5,4,45,5,35,88,27,11,84,33,11,0
93e8e0cb-1733-461c-a659-6a699fcffea5,6,45,5,11,79,27,8,84,11,11,0
9cca833c-d89d-43b6-b3bf-c92e08087780,4,45,5,35,88,27,11,84,33,11,0
9cca833c-d89d-43b6-b3bf-c92e08087780,6,45,5,11,79,27,8,84,11,11,0
4399217b-160e-44c5-bb57-765734ded1f8,4,45,5,8,28,26,11,16,26,11,0
4399217b-160e-44c5-bb57-765734ded1f8,4,45,5,73,24,86,11,25,86,11,0
5e9067f8-bf14-4103-9279-f7633a30f1a9,4,45,5,8,28,26,11,16,26,11,0
5e9067f8-bf14-4103-9279-f7633a30f1a9,4,45,5,73,24,86,11,25,86,11,0
0c00363f-d332-4045-9e8a-5eb746a970a7,2,45,5,25,28,26,28,86,47,28,0
b23871b7-979d-4d2c-adb7-81ec2eb9c1b2,5,45,5,46,85,94,25,11,32,11,0
01db8510-7889-4482-b6bb-bf2ef3feac29,5,45,5,46,85,94,25,11,32,11,0
e8822ff0-e773-4a6a-bd4b-c865c0f824f8,5,45,5,46,85,94,25,11,32,11,0
8bf26b73-0f85-44f2-9f68-8116ee615800,2,45,5,45,50,63,40,54,56,50,0
bc279b12-5293-43c1-8bcb-d194f1092dd5,2,45,5,45,50,63,40,54,56,50,0
0dacb417-8ef1-494b-b8d4-c6d9fbd49bdf,4,45,5,34,16,34,11,16,13,11,1
